,id,recipeName,cook_time_minutes,prep_time_minutes,total_time_minutes,num_servings,tag_list,ingredient_list,cleanedIngredientList
76,7587.0,Air Fryer Chicken Parm,25.0,15.0,40.0,4.0,"['comfort_food', 'cutting_board', 'air_fryer', 'mixing_bowl', 'whisk', 'dry_measuring_cups', 'liquid_measuring_cup', 'measuring_spoons', 'italian', 'dinner', 'weeknight', 'lunch', 'high_protein', 'low_sugar', 'under_45_minutes', 'under_1_hour', 'walmart_meal_planning']","['boneless, skinless chicken breast', 'kosher salt', 'freshly ground black pepper', 'all purpose flour', 'large egg', 'panko breadcrumbs', 'parmesan cheese', 'nonstick cooking spray', 'marinara sauce', 'fresh mozzarella cheese', 'fresh parsley']","['boneless, skinless chicken breast', 'kosher salt', 'freshly ground black pepper', 'all purpose flour', 'large egg', 'panko breadcrumbs', 'parmesan cheese', 'nonstick cooking spray', 'marinara sauce', 'fresh mozzarella cheese', 'fresh parsley']"
77,7587.0,Air Fryer Chicken Parm,25.0,15.0,40.0,4.0,"['comfort_food', 'cutting_board', 'air_fryer', 'mixing_bowl', 'whisk', 'dry_measuring_cups', 'liquid_measuring_cup', 'measuring_spoons', 'italian', 'dinner', 'weeknight', 'lunch', 'high_protein', 'low_sugar', 'under_45_minutes', 'under_1_hour', 'walmart_meal_planning']","['boneless, skinless chicken breast', 'kosher salt', 'freshly ground black pepper', 'all purpose flour', 'large egg', 'panko breadcrumbs', 'parmesan cheese', 'nonstick cooking spray', 'marinara sauce', 'fresh mozzarella cheese', 'fresh parsley']","['boneless, skinless chicken breast', 'kosher salt', 'freshly ground black pepper', 'all purpose flour', 'large egg', 'panko breadcrumbs', 'parmesan cheese', 'nonstick cooking spray', 'marinara sauce', 'fresh mozzarella cheese', 'fresh parsley']"
78,7587.0,Air Fryer Chicken Parm,25.0,15.0,40.0,4.0,"['comfort_food', 'cutting_board', 'air_fryer', 'mixing_bowl', 'whisk', 'dry_measuring_cups', 'liquid_measuring_cup', 'measuring_spoons', 'italian', 'dinner', 'weeknight', 'lunch', 'high_protein', 'low_sugar', 'under_45_minutes', 'under_1_hour', 'walmart_meal_planning']","['boneless, skinless chicken breast', 'kosher salt', 'freshly ground black pepper', 'all purpose flour', 'large egg', 'panko breadcrumbs', 'parmesan cheese', 'nonstick cooking spray', 'marinara sauce', 'fresh mozzarella cheese', 'fresh parsley']","['boneless, skinless chicken breast', 'kosher salt', 'freshly ground black pepper', 'all purpose flour', 'large egg', 'panko breadcrumbs', 'parmesan cheese', 'nonstick cooking spray', 'marinara sauce', 'fresh mozzarella cheese', 'fresh parsley']"
79,7528.0,6-Minute Microwave Lasagna,,,,1.0,"['measuring_spoons', 'microwave', 'liquid_measuring_cup', 'easy', 'italian', 'american', 'comfort_food', 'lunch', 'weeknight', 'oven_mitts', 'dinner', 'high_protein', 'low_sugar', 'vegetarian']","['no-boil lasagna noodle', 'hot water', 'whole milk ricotta cheese', 'fresh baby spinach', 'kosher salt', 'marinara sauce', 'shredded italian cheese blend', 'fresh basil leaf', 'grated parmesan cheese', 'dried basil']","['no-boil lasagna noodle', 'hot water', 'whole milk ricotta cheese', 'fresh baby spinach', 'kosher salt', 'marinara sauce', 'shredded italian cheese blend', 'fresh basil leaf', 'grated parmesan cheese', 'dried basil']"
80,8557.0,Black Hummus,5.0,20.0,28.0,4.0,"['under_30_minutes', 'under_45_minutes', 'sides', 'vegan', 'middle_eastern', 'vegetarian', 'appetizers']","['black sesame seeds', 'vegetable oil']","['black sesame seeds', 'vegetable oil']"
81,8279.0,Alix And Zoya’s Pride Party,30.0,35.0,70.0,6.0,"['stove_top', 'middle_eastern', 'mixing_bowl', 'spider', 'vegetarian', 'casual_party', 'measuring_spoons', 'lunch', 'whisk', 'desserts', 'pride_month', 'tongs']","['canola oil', 'ripe banana', 'whole-milk vanilla yogurt', 'granulated sugar', 'self-rising flour']","['canola oil', 'ripe banana', 'whole-milk vanilla yogurt', 'granulated sugar', 'self-rising flour']"
82,3109.0,Tofu Stir Fry,,,,2.0,"['dry_measuring_cups', 'stove_top', 'cutting_board', 'dinner', 'chefs_knife', 'american', 'japanese', 'pan_fry', 'fusion', 'lunch', 'date_night', 'weeknight', 'cooking_kit', 'high_protein', 'high_fiber', 'dairy_free', 'vegetarian', 'walmart_meal_planning']","['garlic', 'fresh ginger', 'honey', ' sriracha', 'lime juice', 'reduced sodium soy sauce', 'extra firm tofu', 'sesame oil', 'sliced white onion', 'sliced carrot', 'sliced red bell pepper', 'edamame', 'soba noodle', 'sesame seed', 'green onion']","['garlic', 'fresh ginger', 'honey', 'sriracha', 'lime juice', 'reduced sodium soy sauce', 'extra firm tofu', 'sesame oil', 'sliced white onion', 'sliced carrot', 'sliced red bell pepper', 'edamame', 'soba noodle', 'sesame seed', 'green onion']"
83,8162.0,Falafel Waffle,10.0,20.0,30.0,5.0,"['tastyjunior', 'light_bites', 'middle_eastern', 'one_top_app_veggies', 'healthy', 'comfort_food', 'easy', 'mashup', 'cutting_board', 'measuring_spoons', 'plastic_wrap', 'mixing_bowl', 'spatula', 'appetizers', 'grill', 'shoppable_recipes_meal_prep', 'snacks', 'happy_hour', 'weeknight', 'high_fiber', 'under_30_minutes', 'under_45_minutes', 'under_1_hour', 'dairy_free', 'vegan', 'vegetarian']","['cans of chickpeas', 'red onion', 'fresh parsley', 'garlic', 'lemon juice', 'cumin', 'salt', 'freshly ground black pepper', 'red pepper flakes', 'bread crumbs', 'olive oil']","['cans of chickpeas', 'red onion', 'fresh parsley', 'garlic', 'lemon juice', 'cumin', 'salt', 'freshly ground black pepper', 'red pepper flakes', 'bread crumbs', 'olive oil']"
84,8014.0,Shawarma Nachos As Made By Amina,35.0,20.0,175.0,4.0,"['middle_eastern', 'dry_measuring_cups', 'mixing_bowl', 'measuring_spoons', 'cast_iron_pan', 'appetizers', 'casual_party', 'oven', 'air_fryer', 'baking_pan', 'liquid_measuring_cup', 'pan_fry', 'sides', 'bake', 'comfort_food', 'one_pot_or_pan', 'stove_top']","['boneless, skinless chicken breast', 'fresh lemon juice', 'chili powder', 'smoked paprika', 'ground cumin', 'garlic cloves, minced', 'freshly ground black pepper', 'ground cinnamon', 'kosher salt', 'olive oil', 'pita bread', 'olive oil', 'paprika', 'dried oregano', 'greek yogurt', 'tahini', 'kosher salt', 'freshly ground pepper', 'fresh lemon juice', 'water', 'chopped cucumber', 'chopped lettuce', 'chopped tomato', 'sliced red onion']","['boneless, skinless chicken breast', 'fresh lemon juice', 'chili powder', 'smoked paprika', 'ground cumin', 'garlic cloves, minced', 'freshly ground black pepper', 'ground cinnamon', 'kosher salt', 'olive oil', 'pita bread', 'olive oil', 'paprika', 'dried oregano', 'greek yogurt', 'tahini', 'kosher salt', 'freshly ground pepper', 'fresh lemon juice', 'water', 'chopped cucumber', 'chopped lettuce', 'chopped tomato', 'sliced red onion']"
85,7585.0,Air Fryer Falafel,30.0,10.0,40.0,4.0,"['air_fryer', 'middle_eastern', 'liquid_measuring_cup', 'dinner', 'measuring_spoons', 'ice_cream_scoop', 'dry_measuring_cups', 'lunch', 'weeknight', 'food_processor', 'low_calorie', 'low_sugar', 'low_fat', 'high_fiber', 'under_45_minutes', 'under_1_hour', 'dairy_free', 'vegan', 'vegetarian']","['chickpeas', 'large shallot', 'garlic', 'fresh parsley', 'fresh cilantro', 'scallions', 'kosher salt', 'ground cumin', 'paprika', 'all purpose flour', 'baking powder', 'nonstick cooking spray']","['chickpeas', 'large shallot', 'garlic', 'fresh parsley', 'fresh cilantro', 'scallions', 'kosher salt', 'ground cumin', 'paprika', 'all purpose flour', 'baking powder', 'nonstick cooking spray']"
